MESHCL term,GO CC term,vlookup
Acrosome,acrosomal vesicle,GO:0001669
Actin Cytoskeleton,actin cytoskeleton,GO:0015629
Adherens Junctions,adherens junction,GO:0005912
Axoneme,axoneme,GO:0005930
Axons,axon,GO:0030424
COP-Coated Vesicles,COPI-coated vesicle,GO:0030137
Caveolae,caveola,GO:0005901
Cell Membrane,plasma membrane,GO:0005886
Cell Membrane Structures,plasma membrane part,GO:0044459
Cell Nucleolus,nucleolus,GO:0005730
Cell Nucleus,nucleus,GO:0005634
Cell Nucleus Structures,nuclear part,GO:0044428
Cell Wall,cell wall,GO:0005618
Cell-Matrix Junctions,cell-substrate junction,GO:0030055
Cellulosomes,cellulosome,GO:0043263
Centrioles,centriole,GO:0005814
Centromere,"chromosome, centromeric region",GO:0000775
Centrosome,centrosome,GO:0005813
Chromaffin Granules,chromaffin granule,GO:0042583
Chromatids,chromosome,GO:0005694
Chromatin,chromatin,GO:0000785
Chromosomal Puffs,polytene chromosome puff,GO:0005703
Chromosome Structures,chromosomal part,GO:0044427
Chromosomes,chromosome,GO:0005694
Cilia,cilium,GO:0005929
Clathrin-Coated Vesicles,clathrin-coated vesicle,GO:0030136
"Coated Pits, Cell-Membrane",coated pit,GO:0005905
Coated Vesicles,coated vesicle,GO:0030135
Coiled Bodies,Cajal body,GO:0015030
Costameres,costamere,GO:0043034
Cytoplasm,cytoplasm,GO:0005737
Cytoplasmic Structures,cytoplasmic part,GO:0044444
Cytoplasmic Vesicles,cytoplasmic vesicle,GO:0031410
Cytoskeleton,cytoskeleton,GO:0005856
Cytosol,cytosol,GO:0005829
Dendrites,dendrite,GO:0030425
Dendritic Spines,dendritic spine,GO:0043197
Desmosomes,desmosome,GO:0030057
Endoplasmic Reticulum,endoplasmic reticulum,GO:0005783
"Endoplasmic Reticulum, Rough",rough endoplasmic reticulum,GO:0005791
"Endoplasmic Reticulum, Smooth",smooth endoplasmic reticulum,GO:0005790
Endosomes,endosome,GO:0005768
Euchromatin,euchromatin,GO:0000791
Extracellular Matrix,extracellular matrix,GO:0031012
Extracellular Space,extracellular space,GO:0005615
Focal Adhesions,focal adhesion,GO:0005925
Gap Junctions,gap junction,GO:0005921
Glycocalyx,glycocalyx,GO:0030112
Glyoxysomes,glyoxysome,GO:0009514
Golgi Apparatus,Golgi apparatus,GO:0005794
Growth Cones,growth cone,GO:0030426
Hemidesmosomes,hemidesmosome,GO:0030056
Heterochromatin,heterochromatin,GO:0000792
Immunological Synapses,immunological synapse,GO:0001772
Inclusion Bodies,inclusion body,GO:0016234
Intermediate Filaments,intermediate filament,GO:0005882
Intracellular Space,intracellular,GO:0005622
Kinetochores,kinetochore,GO:0000776
Lysosomes,lysosome,GO:0005764
Melanosomes,melanosome,GO:0042470
Microfibrils,microfibril,GO:0001527
Microsomes,microsome,GO:0005792
Microtubules,microtubule,GO:0005874
Mitochondria,mitochondrion,GO:0005739
Mitochondrial Membranes,mitochondrial membrane,GO:0031966
Mitotic Spindle Apparatus,mitotic spindle,GO:0072686
Myelin Sheath,myelin sheath,GO:0043209
Myofibrils,myofibril,GO:0030016
Neuromuscular Junction,neuromuscular junction,GO:0031594
Nuclear Envelope,nuclear envelope,GO:0005635
Nuclear Lamina,nuclear lamina,GO:0005652
Nuclear Matrix,nuclear matrix,GO:0016363
Nuclear Pore,nuclear pore,GO:0005643
Nucleolus Organizer Region,nucleolus organizer region,GO:0005731
Nucleosomes,nucleosome,GO:0000786
Organelles,organelle,GO:0043226
Peroxisomes,peroxisome,GO:0005777
Phycobilisomes,phycobilisome,GO:0030089
Plastids,plastid,GO:0009536
Polytene Chromosome,polytene chromosome,GO:0005700
Ribosomes,ribosome,GO:0005840
Sarcolemma,sarcolemma,GO:0042383
Sarcomeres,sarcomere,GO:0030017
Sarcoplasmic Reticulum,sarcoplasmic reticulum,GO:0016529
Sex Chromatin,sex chromatin,GO:0001739
Sex Chromosomes,sex chromosome,GO:0000803
Stress Fibers,stress fiber,GO:0001725
Synapses,synapse,GO:0045202
Synaptic Membranes,synaptic membrane,GO:0097060
Synaptic Vesicles,synaptic vesicle,GO:0008021
Synaptonemal Complex,synaptonemal complex,GO:0000795
Synaptosomes,synaptosome,GO:0019717
Thylakoids,thylakoid,GO:0009579
Tight Junctions,tight junction,GO:0005923
Transport Vesicles,transport vesicle,GO:0030133
Vacuoles,vacuole,GO:0005773
X Chromosome,X chromosome,GO:0000805
Y Chromosome,Y chromosome,GO:0000806
trans-Golgi Network,trans-Golgi network,GO:0005802
